Dia da Semana,Características reais da sala,Características da sala pedida para a aula,Turno,﻿Curso,Unidade de execução,Turnos com capacidade superior à capacidade das características das salas,Fim,Início,Inscritos no turno (no 1º semestre é baseado em estimativas),Turma,Turno com inscrições superiores à capacidade das salas,Lotação,Sala da aula,Dia
Qua,"Horário sala visível portal público,Laboratório de Informática,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,50,D1.09,11/4/2015
Qua,"Horário sala visível portal público,Laboratório de Informática,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,50,D1.09,10/28/2015
Qua,"Horário sala visível portal público,Laboratório de Informática,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,50,D1.09,10/14/2015
Qua,"Horário sala visível portal público,Laboratório de Informática,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,50,D1.09,10/7/2015
Qua,"Horário sala visível portal público,Laboratório de Informática,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,50,D1.09,9/30/2015
Qua,"Horário sala visível portal público,Laboratório de Informática,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,50,D1.09,9/23/2015
Qua,"Horário sala visível portal público,Laboratório de Informática,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,50,D1.09,9/16/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,12:30:00,11:00:00,28,METIA1,FALSO,28,AA3.24,12/15/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,12:30:00,11:00:00,28,METIA1,FALSO,28,AA3.24,12/1/2015
Ter,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M8406TP01,METI,Sistemas e Redes de Comunicação para Móveis Avançados,FALSO,12:30:00,11:00:00,28,METIA1,FALSO,28,AA3.24,11/24/2015
